weight	degeneracy	user	system	elapsed	maxDurationExceeded	nvars	method
0 1 0 0 0 FALSE 1 "mip"
1 NA 0 0.01 0.02 FALSE 2 "mip"
1 NA 0.01 0 0.02 FALSE 2 "mip"
1 NA 0.02 0 0.01 FALSE 3 "mip"
2 NA 0 0 0 FALSE 3 "mip"
2 NA 0.02 0 0.02 FALSE 3 "mip"
1 NA 0 0 0 FALSE 4 "mip"
2 NA 0.02 0 0.0199999999999999 FALSE 4 "mip"
3 NA 0 0 0 FALSE 4 "mip"
3 NA 0.0099999999999999 0 0.01 FALSE 4 "mip"
1 NA 0.02 0 0.02 FALSE 5 "mip"
2 NA 0 0 0 FALSE 5 "mip"
3 NA 0 0 0 FALSE 5 "mip"
4 NA 0 0 0 FALSE 5 "mip"
4 NA 0 0 0 FALSE 5 "mip"
1 NA 0 0 0 FALSE 6 "mip"
2 NA 0 0 0 FALSE 6 "mip"
3 NA 0.02 0 0.02 FALSE 6 "mip"
4 NA 0 0 0 FALSE 6 "mip"
5 NA 0 0.02 0.0099999999999999 FALSE 6 "mip"
5 NA 0 0 0 FALSE 6 "mip"
1 NA 0 0 0 FALSE 7 "mip"
2 NA 0.01 0 0.02 FALSE 7 "mip"
3 NA 0 0 0 FALSE 7 "mip"
4 NA 0.02 0 0.02 FALSE 7 "mip"
5 NA 0 0 0 FALSE 7 "mip"
6 NA 0.01 0 0.01 FALSE 7 "mip"
6 NA 0 0 0 FALSE 7 "mip"
1 NA 0 0 0 FALSE 8 "mip"
2 NA 0.01 0 0.0199999999999999 FALSE 8 "mip"
3 NA 0 0 0 FALSE 8 "mip"
4 NA 0.02 0 0.01 FALSE 8 "mip"
5 NA 0 0 0 FALSE 8 "mip"
6 NA 0.0099999999999999 0 0.02 FALSE 8 "mip"
7 NA 0.02 0 0.01 FALSE 8 "mip"
7 NA 0 0 0 FALSE 8 "mip"
1 NA 0.02 0 0.02 FALSE 9 "mip"
2 NA 0 0 0 FALSE 9 "mip"
3 NA 0 0 0 FALSE 9 "mip"
4 NA 0 0.02 0.02 FALSE 9 "mip"
5 NA 0 0 0 FALSE 9 "mip"
6 NA 0 0 0 FALSE 9 "mip"
7 NA 0.02 0 0.02 FALSE 9 "mip"
8 NA 0.01 0 0.01 FALSE 9 "mip"
8 NA 0 0 0 FALSE 9 "mip"
1 NA 0 0 0 FALSE 10 "mip"
2 NA 0 0.02 0.02 FALSE 10 "mip"
3 NA 0 0 0 FALSE 10 "mip"
4 NA 0.01 0 0.02 FALSE 10 "mip"
5 NA 0.02 0 0.01 FALSE 10 "mip"
6 NA 0 0 0 FALSE 10 "mip"
7 NA 0.01 0 0.02 FALSE 10 "mip"
8 NA 0.02 0 0.01 FALSE 10 "mip"
9 NA 0.01 0 0.02 FALSE 10 "mip"
9 NA 0.02 0 0.01 FALSE 10 "mip"
1 NA 0 0 0 FALSE 11 "mip"
2 NA 0.01 0 0.02 FALSE 11 "mip"
3 NA 0.02 0 0.01 FALSE 11 "mip"
4 NA 0 0 0 FALSE 11 "mip"
5 NA 0 0 0 FALSE 11 "mip"
6 NA 0.02 0 0.01 FALSE 11 "mip"
7 NA 0.00999999999999979 0 0.02 FALSE 11 "mip"
8 NA 0.02 0 0.01 FALSE 11 "mip"
9 NA 0.02 0 0.02 FALSE 11 "mip"
10 NA 0.01 0 0.00999999999999979 FALSE 11 "mip"
10 NA 0.02 0 0.02 FALSE 11 "mip"
1 NA 0 0 0 FALSE 12 "mip"
2 NA 0.02 0 0.01 FALSE 12 "mip"
3 NA 0.01 0 0.02 FALSE 12 "mip"
4 NA 0 0 0 FALSE 12 "mip"
5 NA 0.02 0 0.01 FALSE 12 "mip"
6 NA 0.01 0 0.02 FALSE 12 "mip"
7 NA 0.02 0 0.01 FALSE 12 "mip"
8 NA 0.02 0 0.02 FALSE 12 "mip"
9 NA 0.01 0 0.01 FALSE 12 "mip"
10 NA 0.02 0 0.02 FALSE 12 "mip"
11 NA 0.01 0 0.02 FALSE 12 "mip"
11 NA 0.02 0 0.01 FALSE 12 "mip"
1 NA 0.02 0 0.01 FALSE 13 "mip"
2 NA 0 0 0 FALSE 13 "mip"
3 NA 0 0 0 FALSE 13 "mip"
4 NA 0.02 0 0.00999999999999979 FALSE 13 "mip"
5 NA 0.02 0 0.02 FALSE 13 "mip"
6 NA 0.01 0 0.02 FALSE 13 "mip"
7 NA 0.02 0 0.01 FALSE 13 "mip"
8 NA 0.01 0 0.02 FALSE 13 "mip"
9 NA 0.02 0 0.01 FALSE 13 "mip"
10 NA 0.01 0 0.02 FALSE 13 "mip"
11 NA 0.02 0 0.01 FALSE 13 "mip"
12 NA 0.02 0 0.02 FALSE 13 "mip"
12 NA 0.01 0 0.01 FALSE 13 "mip"
1 NA 0 0 0 FALSE 14 "mip"
2 NA 0.02 0 0.01 FALSE 14 "mip"
3 NA 0 0 0 FALSE 14 "mip"
4 NA 0 0 0 FALSE 14 "mip"
5 NA 0.02 0 0.01 FALSE 14 "mip"
6 NA 0.01 0 0.02 FALSE 14 "mip"
7 NA 0 0.00999999999999998 0.00999999999999979 FALSE 14 "mip"
8 NA 0.04 0 0.03 FALSE 14 "mip"
9 NA 0.01 0 0.02 FALSE 14 "mip"
10 NA 0.02 0 0.02 FALSE 14 "mip"
11 NA 0.01 0 0.01 FALSE 14 "mip"
12 NA 0.02 0 0.02 FALSE 14 "mip"
13 NA 0.03 0 0.0299999999999998 FALSE 14 "mip"
13 NA 0.01 0 0.0100000000000002 FALSE 14 "mip"
1 NA 0.02 0 0.02 FALSE 15 "mip"
2 NA 0 0 0 FALSE 15 "mip"
3 NA 0 0 0 FALSE 15 "mip"
4 NA 0.02 0 0.02 FALSE 15 "mip"
5 NA 0.00999999999999979 0 0.0100000000000002 FALSE 15 "mip"
6 NA 0.02 0 0.02 FALSE 15 "mip"
7 NA 0.01 0 0.00999999999999979 FALSE 15 "mip"
8 NA 0.02 0 0.02 FALSE 15 "mip"
9 NA 0.03 0 0.0300000000000002 FALSE 15 "mip"
10 NA 0.02 0 0.02 FALSE 15 "mip"
11 NA 0.01 0 0.00999999999999979 FALSE 15 "mip"
12 NA 0.0100000000000002 0 0.0100000000000002 FALSE 15 "mip"
13 NA 0.02 0 0.0199999999999996 FALSE 15 "mip"
14 NA 0.00999999999999979 0 0.0100000000000002 FALSE 15 "mip"
14 NA 0.0300000000000002 0 0.0299999999999998 FALSE 15 "mip"
1 NA 0.00999999999999979 0 0.0100000000000002 FALSE 16 "mip"
2 NA 0 0 0 FALSE 16 "mip"
3 NA 0 0 0 FALSE 16 "mip"
4 NA 0.0100000000000002 0 0.00999999999999979 FALSE 16 "mip"
5 NA 0 0.02 0.02 FALSE 16 "mip"
6 NA 0.02 0 0.0100000000000002 FALSE 16 "mip"
7 NA 0.00999999999999979 0 0.02 FALSE 16 "mip"
8 NA 0.02 0 0.02 FALSE 16 "mip"
9 NA 0.02 0 0.00999999999999979 FALSE 16 "mip"
10 NA 0.0100000000000002 0.00999999999999998 0.0300000000000002 FALSE 16 "mip"
11 NA 0.0199999999999996 0 0.0199999999999996 FALSE 16 "mip"
12 NA 0.0100000000000002 0 0.0100000000000002 FALSE 16 "mip"
13 NA 0.0299999999999998 0 0.0299999999999998 FALSE 16 "mip"
14 NA 0.02 0 0.02 FALSE 16 "mip"
15 NA 0.0300000000000002 0 0.0300000000000002 FALSE 16 "mip"
15 NA 0.02 0 0.02 FALSE 16 "mip"
1 NA 0 0 0 FALSE 17 "mip"
2 NA 0.02 0 0.0100000000000002 FALSE 17 "mip"
3 NA 0.0100000000000002 0 0.02 FALSE 17 "mip"
4 NA 0.02 0 0.00999999999999979 FALSE 17 "mip"
5 NA 0.00999999999999979 0 0.02 FALSE 17 "mip"
6 NA 0.02 0 0.02 FALSE 17 "mip"
7 NA 0.02 0 0.0100000000000002 FALSE 17 "mip"
8 NA 0.0100000000000002 0 0.0199999999999996 FALSE 17 "mip"
9 NA 0.0199999999999996 0 0.0100000000000002 FALSE 17 "mip"
10 NA 0.02 0 0.00999999999999979 FALSE 17 "mip"
11 NA 0.0299999999999998 0 0.04 FALSE 17 "mip"
12 NA 0.0100000000000002 0 0.0100000000000002 FALSE 17 "mip"
13 NA 0.04 0 0.0299999999999998 FALSE 17 "mip"
14 NA 0.0299999999999998 0 0.0300000000000002 FALSE 17 "mip"
15 NA 0.0100000000000002 0 0.02 FALSE 17 "mip"
16 NA 0.00999999999999979 0 0.02 FALSE 17 "mip"
16 NA 0.04 0 0.0300000000000002 FALSE 17 "mip"
1 NA 0 0 0 FALSE 18 "mip"
2 NA 0.0199999999999996 0 0.02 FALSE 18 "mip"
3 NA 0.0100000000000002 0 0.00999999999999979 FALSE 18 "mip"
4 NA 0.02 0 0.02 FALSE 18 "mip"
5 NA 0 0.00999999999999998 0.0100000000000002 FALSE 18 "mip"
6 NA 0.00999999999999979 0 0.02 FALSE 18 "mip"
7 NA 0.02 0 0.02 FALSE 18 "mip"
8 NA 0 0.02 0.00999999999999979 FALSE 18 "mip"
9 NA 0.0300000000000002 0 0.0300000000000002 FALSE 18 "mip"
10 NA 0.0299999999999998 0 0.0299999999999998 FALSE 18 "mip"
11 NA 0.0300000000000002 0 0.04 FALSE 18 "mip"
12 NA 0.0299999999999998 0 0.0299999999999998 FALSE 18 "mip"
13 NA 0.0300000000000002 0 0.0300000000000002 FALSE 18 "mip"
14 NA 0.0399999999999996 0 0.0299999999999998 FALSE 18 "mip"
15 NA 0.0300000000000002 0 0.0300000000000002 FALSE 18 "mip"
16 NA 0.0299999999999998 0 0.0299999999999998 FALSE 18 "mip"
17 NA 0.0100000000000002 0 0.02 FALSE 18 "mip"
17 NA 0.0499999999999998 0 0.04 FALSE 18 "mip"
1 NA 0.0100000000000002 0 0.0100000000000002 FALSE 19 "mip"
2 NA 0.02 0 0.02 FALSE 19 "mip"
3 NA 0.00999999999999979 0 0.0199999999999996 FALSE 19 "mip"
4 NA 0.02 0 0.0100000000000002 FALSE 19 "mip"
5 NA 0 0 0 FALSE 19 "mip"
6 NA 0.02 0 0.00999999999999979 FALSE 19 "mip"
7 NA 0.0199999999999996 0 0.02 FALSE 19 "mip"
